comment_id,sentiment_score,sentiment,themes,summary
msrcn2c,0.4926,positive,[],
msreb3n,0.0772,positive,[],
msrm75r,0.9018,positive,[],
msrsj8u,0.5859,positive,[],
msrey56,0.0,neutral,[],
msry2n1,0.0,neutral,[],
mss2t1u,0.4215,positive,[],
msrwumt,0.2434,positive,[],
msqogxp,-0.2263,negative,[],
msqnvbw,0.0,neutral,[],
msqqf3b,0.0,neutral,[],
msqnpn9,0.0,neutral,[],
msqs2hv,0.0,neutral,[],
msqqjh6,0.0,neutral,[],
msqslmj,0.0,neutral,[],
msrcg6k,0.0,neutral,[],
msrgheo,-0.3182,negative,[],
msrj8cl,-0.4404,negative,[],
msrkzjf,0.0,neutral,[],
msrww6j,0.0,neutral,[],
mss2w35,0.0,neutral,[],
msr3mqg,0.0,neutral,[],
msqwcdc,-0.9035,negative,[],
msqtskb,-0.2769,negative,[],
msrjclf,0.4019,positive,[],
msrg6j4,0.0,neutral,[],
msqw85f,-0.4767,negative,[],
mss34kz,-0.2263,negative,[],
msrjh8m,0.5563,positive,[],
msrsr5h,-0.1027,negative,[],
mspf3la,0.0516,positive,[],
mspfzc2,0.0,neutral,[],
msqhcsm,-0.4391,negative,[],
mspk5is,0.6808,positive,[],
msqy9a0,-0.34,negative,[],
mspfdmf,0.0,neutral,[],
msqetwu,0.0,neutral,[],
msqvb65,0.5423,positive,[],
msq1mty,0.3612,positive,[],
mspgvj9,-0.1027,negative,[],
mspm2j0,0.4019,positive,[],
msrmc35,0.3724,positive,[],
msqhj9o,0.5859,positive,[],
msq51k2,-0.4767,negative,[],
mspik6f,0.0,neutral,[],
mspphnd,0.0,neutral,[],
msrveuv,0.296,positive,[],
msr8oha,-0.3612,negative,[],
msr8rzu,0.0,neutral,[],
msrh3ws,0.5362,positive,[],
msrjud1,0.0,neutral,[],
msrkkvy,-0.6249,negative,[],
msr84rf,0.5829,positive,[],
mss4k0x,0.34,positive,[],
msrpwta,0.0,neutral,[],
msrrulk,0.0,neutral,[],
msrb7w6,0.0,neutral,[],
msrfnme,0.4966,positive,[],
msrh6r1,0.5719,positive,[],
msreuzr,0.0,neutral,[],
mss21bm,0.6369,positive,[],
msrktvj,0.3182,positive,[],
msru815,0.0,neutral,[],
msrna89,0.4939,positive,[],
mss3vrd,0.0,neutral,[],
msrr4m5,0.0,neutral,[],
msrtrgw,0.5106,positive,[],
mss0q04,0.2247,positive,[],
mspo8p6,0.4939,positive,[],
msplznw,0.7096,positive,[],
mspoinn,-0.4019,negative,[],
mspp902,0.3182,positive,[],
mspujpu,-0.875,negative,[],
msqib8x,0.0,neutral,[],
mspwkkg,0.0,neutral,[],
mspwjoj,-0.4767,negative,[],
mspyxts,-0.6597,negative,[],
msq1lpp,0.3182,positive,[],
msqsr7y,0.3182,positive,[],
msraw4f,0.0,neutral,[],
msprnjw,0.4215,positive,[],
mspu2ur,-0.4215,negative,[],
msq4w01,-0.4767,negative,[],
msq527e,0.0,neutral,[],
msq7xjv,0.7579,positive,[],
msqe6jx,0.1027,positive,[],
msrqjbp,0.0,neutral,[],
msrr9ok,0.25,positive,[],
mspu9g7,0.3091,positive,[],
msqa6jw,-0.128,negative,[],
mspxp08,0.34,positive,[],
msqffne,0.0,neutral,[],
mspyx7g,0.4215,positive,[],
msq7b73,0.34,positive,[],
msq7h6w,0.0,neutral,[],
msr4tg0,0.0,neutral,[],
msq5z5s,0.34,positive,[],
msqjpi1,0.0,neutral,[],
msqkhyz,0.0,neutral,[],
msr4wk8,-0.296,negative,[],
msqtn4b,0.0,neutral,[],
msrr15c,-0.1531,negative,[],
msrhjdp,0.0,neutral,[],
msrhc9w,0.0,neutral,[],
msr2xug,0.5106,positive,[],
msr1caa,0.1901,positive,[],
msr5fjg,-0.1531,negative,[],
msr0bow,0.0,neutral,[],
msr2uhe,-0.7509,negative,[],
msr1f9s,-0.5472,negative,[],
msr8vqf,-0.6771,negative,[],
msr8bjo,0.4356,positive,[],
msr5odg,0.8188,positive,[],
msrkenu,0.34,positive,[],
msr9mo2,0.3919,positive,[],
msraevm,0.7906,positive,[],
msre6xy,0.0,neutral,[],
msrjuvk,0.4404,positive,[],
msrkf4k,0.34,positive,[],
msrkmi7,0.7351,positive,[],
msron3h,0.5267,positive,[],
msrqikj,-0.4215,negative,[],
msrs6sv,0.6369,positive,[],
msrvzst,0.7845,positive,[],
msrw6z4,0.5687,positive,[],
msrxgt7,0.7748,positive,[],
msryu6t,-0.6348,negative,[],
mss3m9u,-0.4019,negative,[],
msr641k,0.4201,positive,[],
msr6wbq,-0.7351,negative,[],
msredtd,0.0,neutral,[],
msrf300,0.9253,positive,[],
msrhym0,0.0516,positive,[],
msrqa1s,-0.4341,negative,[],
msr2icw,0.9747,positive,[],
msr5k1g,0.1027,positive,[],
msr14t8,0.4404,positive,[],
msrwfmf,0.5472,positive,[],
msrz6zn,-0.2163,negative,[],
mss00pu,-0.6597,negative,[],
msrwf3p,0.9517,positive,[],
msriysj,0.0,neutral,[],
msr8ndl,-0.8074,negative,[],
msrmu93,0.0,neutral,[],
msrcanh,-0.4118,negative,[],
msr1fcm,0.823,positive,[],
mss0vx8,0.6486,positive,[],
msrzn1z,0.1531,positive,[],
msr2qed,-0.277,negative,[],
msr36qf,-0.2869,negative,[],
msr3d1k,0.6739,positive,[],
msr3fi4,0.5423,positive,[],
msr42o5,0.743,positive,[],
msoi43e,0.891,positive,[],
msot2wj,-0.533,negative,[],
msol8mp,0.3716,positive,[],
msp7v0v,0.0,neutral,[],
mspej9p,0.9953,positive,[],
mspf8yb,0.7964,positive,[],
msoovwd,-0.2732,negative,[],
msojnl3,-0.0258,neutral,[],
msoy7ef,-0.765,negative,[],
msok2ps,0.9274,positive,[],
msonuiz,0.0,neutral,[],
msoq23f,0.0772,positive,[],
msoqnus,0.6249,positive,[],
msos2e0,-0.2716,negative,[],
msossqo,-0.4317,negative,[],
msowiro,0.0772,positive,[],
msowuz8,-0.5423,negative,[],
msowxw1,0.7113,positive,[],
msoyzz5,0.765,positive,[],
msp447t,0.765,positive,[],
msp6b68,0.4767,positive,[],
msp8qai,0.0,neutral,[],
mspafhm,0.1901,positive,[],
mspasoq,0.9279,positive,[],
mspbsk8,-0.2263,negative,[],
mspc6vk,0.611,positive,[],
mspgi1u,0.0,neutral,[],
msphvco,-0.3818,negative,[],
msplb9y,0.7717,positive,[],
mspngq1,-0.2767,negative,[],
mspnoi6,0.0,neutral,[],
mspp89k,-0.7845,negative,[],
msppaav,0.9291,positive,[],
mspumx1,0.25,positive,[],
mspuyhr,-0.4588,negative,[],
mspvi4f,-0.3182,negative,[],
mspx2rt,0.9133,positive,[],
msq1iig,0.7448,positive,[],
msq1phw,0.8271,positive,[],
msq2h13,0.9882,positive,[],
msq4ucg,0.1531,positive,[],
msq8abx,-0.1796,negative,[],
msqlkwe,-0.4678,negative,[],
msqt6ov,0.2382,positive,[],
msqw7bz,-0.7208,negative,[],
msqxa4u,-0.34,negative,[],
msqxy3k,0.659,positive,[],
msqyjwx,0.8402,positive,[],
msr16xf,0.2732,positive,[],
msr29oa,-0.4404,negative,[],
